,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,ReturnPct,EntryTime,ExitTime,Duration,Tag
0,-472,5,7,105.782,106.3599,,97.83140000000006,-272.7687999999998,-0.0054631222703296345,2016-01-04 09:36:00,2016-01-04 09:38:00,0 days 00:02:00,
1,-234,394,777,108.08,106.12,108.93,100.07499999999999,458.6399999999985,0.01813471502590669,2016-01-05 09:36:00,2016-01-05 16:00:00,0 days 06:24:00,
2,524,783,1167,101.23,103.1,100.84,111.21999999999994,979.8799999999949,0.018472784747604276,2016-01-06 09:36:00,2016-01-06 16:00:00,0 days 06:24:00,
3,-467,1173,1173,96.2708,96.79,,88.82999999999991,-242.46640000000565,-0.005393120239989724,2016-01-07 09:36:00,2016-01-07 09:36:00,0 days 00:00:00,
4,182,1563,1598,96.7699,95.38,,111.30000000000003,-252.96180000000209,-0.014362937235648854,2016-01-08 09:36:00,2016-01-08 10:11:00,0 days 00:35:00,
5,693,1953,1953,93.57,93.15,,102.31999999999995,-291.0599999999913,-0.004488618146841761,2016-01-11 09:36:00,2016-01-11 09:36:00,0 days 00:00:00,
6,264,2343,2414,95.439,94.5,,100.65999999999995,-247.89599999999814,-0.009838745167069951,2016-01-12 09:36:00,2016-01-12 10:47:00,0 days 01:11:00,
7,823,2733,2744,96.48,96.1547,,103.61299999999999,-267.72189999999887,-0.003371683250414592,2016-01-13 09:36:00,2016-01-13 09:47:00,0 days 00:11:00,
8,-358,3123,3176,86.03,86.743,,77.70800000000004,-255.2539999999978,-0.008287806579100332,2016-01-14 09:36:00,2016-01-14 10:29:00,0 days 00:53:00,
9,164,3513,3663,82.88,81.396,,100.62599999999996,-243.37599999999912,-0.017905405405405306,2016-01-15 09:36:00,2016-01-15 12:06:00,0 days 02:30:00,
10,-366,3903,4287,85.36,83.04,86.124,78.32000000000001,849.1199999999975,0.027179006560449803,2016-01-19 09:36:00,2016-01-19 16:00:00,0 days 06:24:00,
11,252,4293,4297,79.77,78.73,,91.80999999999999,-262.079999999998,-0.013037482762943364,2016-01-20 09:36:00,2016-01-20 09:40:00,0 days 00:04:00,
12,-477,4683,4718,82.6,83.2,,63.37749999999993,-286.2000000000041,-0.007263922518159882,2016-01-21 09:36:00,2016-01-21 10:11:00,0 days 00:35:00,
13,770,5073,5073,87.269,87.0,,92.62,-207.1300000000042,-0.0030824233118289524,2016-01-22 09:36:00,2016-01-22 09:36:00,0 days 00:00:00,
14,-1018,5463,5466,88.7855,88.93,,83.4899999999999,-147.10100000000799,-0.0016275180068818784,2016-01-25 09:36:00,2016-01-25 09:39:00,0 days 00:03:00,
15,349,5852,5856,86.69,85.954,,95.71000000000006,-256.86400000000145,-0.008490021917176183,2016-01-26 09:36:00,2016-01-26 09:40:00,0 days 00:04:00,
16,-751,6632,7016,85.06,84.73,85.4,78.27999999999993,247.82999999999873,0.003879614389842412,2016-01-28 09:36:00,2016-01-28 16:00:00,0 days 06:24:00,
17,867,7022,7398,84.85,89.92900000000002,84.5501,89.92900000000002,4403.493000000019,0.05985857395403671,2016-01-29 09:36:00,2016-01-29 15:52:00,0 days 06:16:00,
18,-486,7412,7415,88.18,88.79,,82.9999999999999,-296.4599999999997,-0.006917668405534094,2016-02-01 09:36:00,2016-02-01 09:39:00,0 days 00:03:00,
19,-715,7802,8186,89.08,85.1,89.532,82.71500000000005,2845.700000000003,0.04467894027840147,2016-02-02 09:36:00,2016-02-02 16:00:00,0 days 06:24:00,
20,-600,8192,8245,85.97,80.75000000000004,86.47,80.75000000000004,3131.9999999999736,0.06071885541467903,2016-02-03 09:36:00,2016-02-03 10:29:00,0 days 00:53:00,
21,-353,8582,8621,82.63,83.58,,73.8806,-335.350000000001,-0.011497034975190612,2016-02-04 09:36:00,2016-02-04 10:15:00,0 days 00:39:00,
22,-281,8972,9356,81.52,74.42,82.781,70.25999999999999,1995.0999999999983,0.08709519136408239,2016-02-05 09:36:00,2016-02-05 16:00:00,0 days 06:24:00,
23,-706,9362,9369,70.3,70.8599,,64.25110000000004,-395.28939999999926,-0.00796443812233294,2016-02-08 09:36:00,2016-02-08 09:43:00,0 days 00:07:00,
24,589,9752,10135,68.8207,70.7,68.22,75.02490000000004,1106.9077000000004,0.027307191005031983,2016-02-09 09:36:00,2016-02-09 16:00:00,0 days 06:24:00,
25,-381,10141,10155,72.52,73.55,,65.48700000000007,-392.4300000000004,-0.014202978488692786,2016-02-10 09:36:00,2016-02-10 09:50:00,0 days 00:14:00,
26,399,10531,10629,69.5,68.64,,80.75000000000004,-343.13999999999976,-0.012374100719424463,2016-02-11 09:36:00,2016-02-11 11:14:00,0 days 01:38:00,
27,-576,10921,11031,73.34,73.935,,62.45999999999992,-342.71999999999935,-0.008112898827379311,2016-02-12 09:36:00,2016-02-12 11:26:00,0 days 01:50:00,
28,-1226,11311,11311,77.771,78.09,,73.09920000000001,-391.09400000000323,-0.004101786012781217,2016-02-16 09:36:00,2016-02-16 09:36:00,0 days 00:00:00,
29,881,11700,11706,81.6,81.16,,87.62000000000009,-387.639999999998,-0.005392156862745079,2016-02-17 09:36:00,2016-02-17 09:42:00,0 days 00:06:00,
30,-363,12090,12473,84.7057,81.83,85.73,74.87099999999994,1043.879099999998,0.03394930919642947,2016-02-18 09:36:00,2016-02-18 16:00:00,0 days 06:24:00,
31,479,12479,12483,81.6094,80.91,,87.75999999999999,-335.01259999999866,-0.008570091190475582,2016-02-19 09:36:00,2016-02-19 09:40:00,0 days 00:04:00,
32,1476,12869,13252,85.15,86.61,84.82,88.26100000000008,2154.959999999991,0.01714621256605975,2016-02-22 09:36:00,2016-02-22 16:00:00,0 days 06:24:00,
33,1194,13258,13288,85.3776,85.0,,89.91599999999994,-450.85440000000125,-0.0044227057214070165,2016-02-23 09:36:00,2016-02-23 10:06:00,0 days 00:30:00,
34,-556,13648,13773,79.03,79.8,,71.32999999999998,-428.1199999999978,-0.009743135518157642,2016-02-24 09:36:00,2016-02-24 11:41:00,0 days 02:05:00,
35,1098,14038,14039,85.6,85.2844,,88.976,-346.52879999998817,-0.003686915887850306,2016-02-25 09:36:00,2016-02-25 09:37:00,0 days 00:01:00,
36,-1587,14428,14429,88.96,89.21,,82.7800000000001,-396.75,-0.002810251798561092,2016-02-26 09:36:00,2016-02-26 09:37:00,0 days 00:01:00,
37,1003,14818,15103,86.7967,86.43,,92.58999999999999,-367.8000999999945,-0.004224814998726845,2016-02-29 09:36:00,2016-02-29 14:21:00,0 days 04:45:00,
38,1489,15598,15601,92.38,92.18,,97.42,-297.7999999999831,-0.002164970772894459,2016-03-02 09:36:00,2016-03-02 09:39:00,0 days 00:03:00,
39,-1477,15987,15990,92.5,92.63,,86.07000000000005,-192.00999999999328,-0.0014054054054053466,2016-03-03 09:36:00,2016-03-03 09:39:00,0 days 00:03:00,
40,-296,16377,16468,91.67,92.86,,83.58000000000003,-352.2399999999993,-0.012981346132867833,2016-03-04 09:36:00,2016-03-04 11:07:00,0 days 01:31:00,
41,-641,17156,17164,88.3746,88.92,,82.57580000000002,-349.60140000000047,-0.006171456504470818,2016-03-08 09:36:00,2016-03-08 09:44:00,0 days 00:08:00,
42,-731,17545,17601,89.16,89.61,,85.5373,-328.9500000000021,-0.005047106325706707,2016-03-09 09:36:00,2016-03-09 10:32:00,0 days 00:56:00,
43,316,17935,17994,91.57,90.6101,,103.48900000000003,-303.328399999997,-0.010482690837610442,2016-03-10 09:36:00,2016-03-10 10:35:00,0 days 00:59:00,
44,-692,18325,18342,92.5299,92.98,,83.38999999999989,-311.46920000000426,-0.004864373570056868,2016-03-11 09:36:00,2016-03-11 09:53:00,0 days 00:17:00,
45,1056,18714,19095,93.68,95.27,93.31,97.92799999999993,1679.0399999999886,0.01697267292912019,2016-03-14 09:36:00,2016-03-14 16:00:00,0 days 06:24:00,
